2022-07-04 03:35:17 INFO  NettyBlockTransferService:54 - Server created on 192.168.1.10:37137
2022-07-04 03:35:17 INFO  BlockManager:54 - Using org.apache.spark.storage.RandomBlockReplicationPolicy for block replication policy
2022-07-04 03:35:17 INFO  BlockManagerMaster:54 - Registering BlockManager BlockManagerId(driver, 192.168.1.10, 37137, None)
2022-07-04 03:35:17 INFO  BlockManagerMasterEndpoint:54 - Registering block manager 192.168.1.10:37137 with 366.3 MB RAM, BlockManagerId(driver, 192.168.1.10, 37137, None)
2022-07-04 03:35:17 INFO  BlockManagerMaster:54 - Registered BlockManager BlockManagerId(driver, 192.168.1.10, 37137, None)
2022-07-04 03:35:17 INFO  BlockManager:54 - Initialized BlockManager: BlockManagerId(driver, 192.168.1.10, 37137, None)
2022-07-04 03:35:17 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@365416ec{/metrics/json,null,AVAILABLE,@Spark}
2022-07-04 03:35:18 INFO  SharedState:54 - Setting hive.metastore.warehouse.dir ('null') to the value of spark.sql.warehouse.dir ('file:/home/rahul/bcg/Case_study/spark-warehouse').
2022-07-04 03:35:18 INFO  SharedState:54 - Warehouse path is 'file:/home/rahul/bcg/Case_study/spark-warehouse'.
2022-07-04 03:35:18 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@3c12dba3{/SQL,null,AVAILABLE,@Spark}
2022-07-04 03:35:18 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@f830524{/SQL/json,null,AVAILABLE,@Spark}
2022-07-04 03:35:18 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@ec35dc1{/SQL/execution,null,AVAILABLE,@Spark}
2022-07-04 03:35:18 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@64a4bd0d{/SQL/execution/json,null,AVAILABLE,@Spark}
2022-07-04 03:35:18 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@543fb3f6{/static/sql,null,AVAILABLE,@Spark}
2022-07-04 03:35:18 INFO  StateStoreCoordinatorRef:54 - Registered StateStoreCoordinator endpoint
Config File : {'charge_use': 'Data/Charges_use.csv', 'damages_use': 'Data/Damages_use.csv', 'endorse_use': 'Data/Endorse_use.csv', 'primary_person_use': 'Data/Primary_Person_use.csv', 'restrict_use': 'Data/Restrict_use.csv', 'units_use': 'Data/Units_use.csv', 'output_file_path': {'count_male': 'output/count_male_crash.csv', 'count_2_wheeler_crash': 'output/count_2_wheeler_crash.csv', 'state_with_highest_female_accident': 'output/state_with_highest_female_accident.csv', 'top_vehicle_contributing_to_injuries': 'output/top_vehicle_contributing_to_injuries.csv', 'top_ethnic_user_group_crash_for_each_body_style': 'output/count_2_wheeler_crash.csv', 'top_5_zip_codes_with_alcohols_as_reason_for_crash': 'output/top_5_zip_codes_with_alcohols_as_reason_for_crash.csv', 'crash_ids_with_no_damage': 'output/count_2_wheeler_crash.csv', 'top_5_vehicle_brand': 'output/top_5_vehicle_brand.csv'}}
2022-07-04 03:35:22 INFO  FileSourceStrategy:54 - Pruning directories with: 
2022-07-04 03:35:22 INFO  FileSourceStrategy:54 - Post-Scan Filters: (length(trim(value#0, None)) > 0)
2022-07-04 03:35:22 INFO  FileSourceStrategy:54 - Output Data Schema: struct<value: string>
2022-07-04 03:35:22 INFO  FileSourceScanExec:54 - Pushed Filters: 
2022-07-04 03:35:22 INFO  CodeGenerator:54 - Code generated in 281.314008 ms
2022-07-04 03:35:22 INFO  CodeGenerator:54 - Code generated in 24.920549 ms
2022-07-04 03:35:23 INFO  MemoryStore:54 - Block broadcast_0 stored as values in memory (estimated size 283.7 KB, free 366.0 MB)
2022-07-04 03:35:23 INFO  MemoryStore:54 - Block broadcast_0_piece0 stored as bytes in memory (estimated size 23.3 KB, free 366.0 MB)
2022-07-04 03:35:23 INFO  BlockManagerInfo:54 - Added broadcast_0_piece0 in memory on 192.168.1.10:37137 (size: 23.3 KB, free: 366.3 MB)
2022-07-04 03:35:23 INFO  SparkContext:54 - Created broadcast 0 from load at NativeMethodAccessorImpl.java:0
2022-07-04 03:35:23 INFO  FileSourceScanExec:54 - Planning scan with bin packing, max size: 5168134 bytes, open cost is considered as scanning 4194304 bytes.
2022-07-04 03:35:23 INFO  SparkContext:54 - Starting job: load at NativeMethodAccessorImpl.java:0
2022-07-04 03:35:23 INFO  DAGScheduler:54 - Got job 0 (load at NativeMethodAccessorImpl.java:0) with 1 output partitions
2022-07-04 03:35:23 INFO  DAGScheduler:54 - Final stage: ResultStage 0 (load at NativeMethodAccessorImpl.java:0)
2022-07-04 03:35:23 INFO  DAGScheduler:54 - Parents of final stage: List()
2022-07-04 03:35:23 INFO  DAGScheduler:54 - Missing parents: List()
2022-07-04 03:35:23 INFO  DAGScheduler:54 - Submitting ResultStage 0 (MapPartitionsRDD[3] at load at NativeMethodAccessorImpl.java:0), which has no missing parents
2022-07-04 03:35:23 INFO  MemoryStore:54 - Block broadcast_1 stored as values in memory (estimated size 8.8 KB, free 366.0 MB)
2022-07-04 03:35:23 INFO  MemoryStore:54 - Block broadcast_1_piece0 stored as bytes in memory (estimated size 4.5 KB, free 366.0 MB)
2022-07-04 03:35:23 INFO  BlockManagerInfo:54 - Added broadcast_1_piece0 in memory on 192.168.1.10:37137 (size: 4.5 KB, free: 366.3 MB)
2022-07-04 03:35:23 INFO  SparkContext:54 - Created broadcast 1 from broadcast at DAGScheduler.scala:1161
2022-07-04 03:35:23 INFO  DAGScheduler:54 - Submitting 1 missing tasks from ResultStage 0 (MapPartitionsRDD[3] at load at NativeMethodAccessorImpl.java:0) (first 15 tasks are for partitions Vector(0))
2022-07-04 03:35:23 INFO  TaskSchedulerImpl:54 - Adding task set 0.0 with 1 tasks
2022-07-04 03:35:23 INFO  TaskSetManager:54 - Starting task 0.0 in stage 0.0 (TID 0, localhost, executor driver, partition 0, PROCESS_LOCAL, 8332 bytes)
2022-07-04 03:35:23 INFO  Executor:54 - Running task 0.0 in stage 0.0 (TID 0)
